sensor_datehhmm,sensor_ip,min_humidity,max_humidity,avg_humidity,min_temp_motor1,max_temp_motor1,avg_temp_motor1,min_temp_motor2,max_temp_motor2,avg_temp_motor2,min_temp_motor3,max_temp_motor3,avg_temp_motor3,min_vibrationhz_x,max_vibrationhz_x,avg_vibrationhz_x,min_vibrationhz_y,max_vibrationhz_y,avg_vibrationhz_y,min_vibrationhz_z,max_vibrationhz_z,avg_vibrationhz_z,min_noise_dba_motor1,max_noise_dba_motor1,avg_noise_dba_motor1,min_noise_dba_motor2,max_noise_dba_motor2,avg_noise_dba_motor2,min_noise_dba_motor3,max_noise_dba_motor3,avg_noise_dba_motor3,temp_count_hour,sensor_created_at,falha_tipo_falha,falha_error_description,sensor_dayOfMonth
2021-11-25 12:49:00,172.18.0.2,17,84,47.67,6,29,15.75,7,28,17.0,5,33,17.17,11,20,16.33,10,21,15.08,10,21,13.33,21,60,39.42,20,64,45.25,17,61,33.17,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:50:00,172.18.0.2,25,84,52.42,6,28,16.33,10,32,21.83,7,30,20.5,10,20,14.83,10,20,15.58,10,20,14.5,15,60,46.33,15,62,33.83,21,59,42.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:51:00,172.18.0.2,25,76,49.25,7,29,18.75,9,32,18.42,5,32,19.92,10,21,14.42,11,20,16.92,10,20,13.33,15,63,31.75,17,51,35.83,17,59,43.58,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:52:00,172.18.0.2,18,83,34.83,5,27,12.75,6,32,21.58,6,33,20.58,10,21,14.83,11,21,16.33,10,20,14.58,15,62,41.75,22,58,40.67,25,61,45.92,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:53:00,172.18.0.2,24,84,50.58,6,29,16.0,10,31,24.0,5,33,15.92,12,20,16.75,10,21,13.92,10,21,16.92,15,59,33.58,17,59,35.92,15,62,38.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:54:00,172.18.0.2,17,84,54.83,5,26,17.75,5,32,18.58,9,33,20.75,10,21,15.42,12,21,16.75,10,20,13.5,16,58,37.92,17,63,33.33,17,50,32.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:55:00,172.18.0.2,20,82,51.25,6,25,11.67,7,28,18.25,5,34,17.25,10,20,14.08,11,21,16.67,10,19,14.58,19,63,38.33,18,62,43.67,19,42,32.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:56:00,172.18.0.2,20,79,57.92,8,29,18.5,9,30,19.5,5,29,15.17,10,19,14.17,10,20,15.83,10,20,14.25,18,63,40.5,16,58,37.08,16,63,34.92,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:57:00,172.18.0.2,19,81,50.42,5,28,14.83,7,32,18.75,8,34,20.33,10,20,13.92,10,21,15.67,10,21,16.42,23,63,43.5,15,56,31.0,20,63,43.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:58:00,172.18.0.2,22,79,52.67,6,29,19.0,7,32,17.33,5,32,19.75,10,21,15.17,10,21,15.08,12,21,16.83,15,61,35.42,15,61,41.25,15,59,33.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 12:59:00,172.18.0.2,30,84,62.83,5,29,12.67,5,32,19.75,6,34,22.33,10,20,15.42,11,20,16.92,11,21,15.08,15,63,42.42,15,62,40.83,15,52,38.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:00:00,172.18.0.2,27,72,48.92,14,29,22.83,7,29,16.92,5,34,20.75,10,21,16.67,10,19,16.25,11,21,15.5,20,61,49.25,21,49,34.75,16,62,42.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:01:00,172.18.0.2,16,77,48.08,5,29,19.33,5,32,17.17,12,33,20.75,12,21,16.25,10,20,16.0,10,21,17.0,19,52,37.75,17,63,36.58,20,62,45.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:02:00,172.18.0.2,17,84,51.92,5,28,17.42,6,29,19.75,5,30,15.25,10,21,14.67,10,21,16.33,10,21,15.83,20,64,37.58,21,53,34.5,15,58,35.08,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:03:00,172.18.0.2,20,82,56.5,5,27,14.0,5,32,20.5,9,28,18.92,10,21,14.58,12,21,16.83,10,20,13.75,19,62,40.75,19,63,35.67,21,64,38.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:04:00,172.18.0.2,18,80,47.0,6,29,15.42,5,30,16.33,9,33,22.08,10,21,15.0,10,21,16.33,10,21,14.67,17,53,40.17,19,61,42.0,16,58,31.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:05:00,172.18.0.2,19,84,50.5,11,28,22.67,5,27,16.17,11,29,19.25,10,19,14.17,10,21,15.17,11,21,15.67,21,63,36.83,16,61,42.67,17,61,40.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:06:00,172.18.0.2,16,75,49.08,8,29,22.83,6,31,18.75,6,34,22.25,11,20,14.08,10,19,14.67,11,21,16.25,15,60,42.75,17,64,40.58,20,51,37.08,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:07:00,172.18.0.2,16,78,37.5,5,29,16.67,10,32,19.58,8,32,22.0,10,21,15.33,10,21,14.67,11,20,15.33,17,58,37.0,16,63,42.92,16,53,36.08,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:08:00,172.18.0.2,19,80,44.83,9,28,19.67,6,27,14.0,9,32,20.58,10,21,16.58,12,21,16.92,11,21,15.42,15,56,36.17,15,64,35.17,16,64,43.25,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:09:00,172.18.0.2,20,76,48.25,7,28,17.67,7,31,18.92,7,28,15.75,10,21,15.92,11,20,14.42,10,20,15.58,16,56,36.33,17,64,33.83,15,59,37.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:10:00,172.18.0.2,16,84,56.83,5,28,17.42,5,32,17.25,6,32,19.33,10,20,15.17,10,20,15.33,10,21,16.58,21,63,49.08,18,61,34.83,25,64,51.17,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:11:00,172.18.0.2,34,81,58.25,6,29,17.58,5,31,16.83,5,33,18.83,11,21,16.42,12,20,15.83,11,19,14.75,16,45,31.42,17,60,32.25,24,62,42.58,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:12:00,172.18.0.2,18,84,50.0,5,27,19.42,7,32,21.58,7,33,19.92,13,19,16.33,10,20,16.67,10,20,14.83,16,64,34.92,23,64,45.42,16,58,32.25,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:13:00,172.18.0.2,15,72,39.08,5,28,14.92,9,29,20.83,8,34,20.83,10,19,15.25,10,19,14.42,10,21,15.25,16,60,36.67,20,63,41.67,27,64,48.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:14:00,172.18.0.2,17,83,44.08,8,26,17.67,7,32,17.25,5,27,15.0,10,21,15.0,10,20,15.33,11,21,16.17,15,62,45.42,18,60,38.25,15,62,32.25,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:15:00,172.18.0.2,18,84,50.25,8,29,16.08,5,30,18.67,5,34,17.67,10,21,15.92,10,21,14.83,10,18,14.17,24,61,40.83,27,62,43.17,15,59,36.58,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:16:00,172.18.0.2,16,77,33.42,5,29,16.67,11,32,21.75,6,32,19.83,10,20,16.0,11,21,16.25,10,21,14.08,16,64,34.08,15,56,33.67,17,55,29.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:17:00,172.18.0.2,22,83,53.25,6,28,18.42,5,31,18.33,5,33,21.5,10,21,15.17,10,20,13.83,11,20,14.25,17,61,39.58,15,64,39.42,16,64,30.92,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:18:00,172.18.0.2,40,84,60.83,5,27,17.5,5,29,17.17,7,33,18.0,11,20,14.92,13,21,18.42,10,21,15.0,27,61,38.08,15,59,38.5,16,62,42.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:19:00,172.18.0.2,20,78,52.5,8,27,17.17,7,27,17.5,8,32,18.75,10,20,14.67,10,21,14.67,10,20,14.58,17,60,38.25,17,64,39.5,15,63,38.58,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:20:00,172.18.0.2,24,82,50.33,5,29,15.92,8,32,18.83,12,34,20.67,11,20,15.0,11,21,15.83,10,20,15.83,21,61,41.75,16,55,34.33,17,64,44.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:21:00,172.18.0.2,19,78,46.58,8,29,18.17,5,30,18.92,9,31,19.42,13,21,16.58,10,21,15.83,10,18,12.92,17,58,39.75,16,53,37.5,17,57,36.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:22:00,172.18.0.2,19,77,44.5,7,28,17.17,7,27,18.08,8,34,18.33,10,18,13.67,10,19,14.17,12,21,17.17,15,64,42.67,25,57,35.92,25,60,43.17,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:23:00,172.18.0.2,16,81,48.25,8,29,19.92,5,31,22.92,9,31,19.42,10,20,15.33,10,21,15.33,10,21,15.33,15,63,37.25,15,63,35.33,17,56,38.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:24:00,172.18.0.2,16,83,51.08,6,22,13.67,5,31,14.33,6,28,16.17,10,21,15.5,12,20,16.08,10,21,17.0,15,62,46.08,22,61,38.75,16,61,34.92,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:25:00,172.18.0.2,28,75,51.25,6,27,16.17,5,30,16.5,7,31,19.17,10,20,16.33,11,19,15.67,10,21,14.92,17,59,40.08,15,64,36.42,33,63,49.58,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:26:00,172.18.0.2,25,77,45.5,5,29,15.33,6,32,20.67,5,33,21.92,11,21,14.83,10,21,15.17,12,20,15.75,15,56,36.75,19,60,36.42,15,59,40.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:27:00,172.18.0.2,15,84,63.17,6,29,15.42,9,32,22.75,5,31,16.67,12,20,15.92,10,21,16.25,13,20,16.75,29,64,46.25,15,60,39.0,22,56,36.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:28:00,172.18.0.2,19,78,50.08,5,27,14.5,7,32,18.25,6,33,18.75,11,21,15.25,12,20,16.0,10,21,16.0,20,63,43.42,18,56,36.5,20,63,37.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:29:00,172.18.0.2,21,84,46.5,6,28,15.42,11,32,23.17,5,34,20.33,10,21,14.42,12,19,16.5,11,21,15.42,29,64,51.58,21,57,37.75,15,63,42.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:30:00,172.18.0.2,15,78,35.17,5,29,14.33,6,31,18.42,7,34,20.58,10,21,14.25,12,21,15.83,11,21,17.0,17,62,34.75,18,62,46.92,15,61,40.25,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:31:00,172.18.0.2,17,84,47.33,7,29,19.08,5,32,21.83,10,34,25.67,12,21,14.67,10,20,13.5,10,21,15.75,18,64,43.25,25,52,39.83,17,64,38.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:32:00,172.18.0.2,23,83,44.08,5,28,18.5,11,31,18.75,5,33,18.33,10,21,15.58,11,21,15.42,11,19,16.0,15,64,38.33,17,61,38.0,15,57,38.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:33:00,172.18.0.2,21,83,58.75,6,29,16.83,5,32,16.58,15,34,24.5,10,21,15.08,11,21,16.25,10,21,15.92,27,62,44.58,16,63,32.0,24,56,36.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:34:00,172.18.0.2,17,82,45.92,5,28,15.67,6,32,22.25,7,33,19.92,10,20,13.83,10,19,14.25,11,20,15.67,15,60,33.92,17,62,39.42,19,58,37.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:35:00,172.18.0.2,18,76,50.92,5,29,19.58,5,31,16.83,9,34,19.5,10,21,16.17,10,21,16.5,10,19,13.42,20,60,41.0,17,60,40.25,19,61,39.08,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:36:00,172.18.0.2,28,83,58.33,6,26,16.0,7,31,21.67,6,28,16.92,10,21,15.42,10,21,14.75,10,20,16.42,21,60,43.67,19,61,45.08,16,61,41.25,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:37:00,172.18.0.2,20,78,52.83,5,25,14.92,13,29,20.17,7,33,21.5,10,21,15.08,10,21,17.5,10,21,16.08,15,64,42.92,15,64,40.42,20,58,38.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:38:00,172.18.0.2,20,81,53.58,5,28,16.67,6,29,16.83,8,34,19.17,10,21,16.08,10,21,16.25,10,20,15.25,18,64,35.58,21,64,40.08,16,61,37.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:39:00,172.18.0.2,26,78,44.58,7,28,19.83,5,30,16.17,6,31,18.75,10,20,15.0,11,21,16.33,10,21,16.75,16,63,43.08,19,61,39.83,25,58,37.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:40:00,172.18.0.2,20,82,59.0,5,28,15.0,5,32,24.83,6,33,20.17,10,20,15.08,10,19,14.5,10,21,15.75,19,63,39.75,25,61,48.83,17,63,38.25,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:41:00,172.18.0.2,21,84,58.17,6,28,16.67,6,31,18.75,7,27,16.75,10,21,15.58,10,21,16.67,10,21,14.83,16,61,41.92,17,59,34.33,18,54,34.58,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:42:00,172.18.0.2,17,73,47.67,6,28,16.83,6,28,16.08,8,32,19.33,10,19,14.58,11,19,15.92,11,21,15.33,16,61,35.25,16,60,38.5,24,62,48.17,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:43:00,172.18.0.2,23,84,46.5,6,29,15.5,5,32,19.75,6,34,21.25,10,20,15.33,10,20,14.92,11,21,17.0,16,60,41.58,15,63,39.08,18,64,43.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:44:00,172.18.0.2,15,82,45.58,7,29,19.33,5,32,21.58,6,29,17.25,10,21,16.5,11,21,16.25,10,19,12.75,16,59,35.5,22,62,36.83,17,64,42.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:45:00,172.18.0.2,16,77,38.33,6,28,18.58,5,30,16.0,5,32,17.83,10,21,17.08,10,21,15.42,10,21,16.33,15,63,35.25,16,62,44.17,21,61,40.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:46:00,172.18.0.2,16,81,51.17,5,28,20.5,6,32,20.08,5,34,23.25,11,19,14.0,11,21,15.5,10,21,16.83,17,61,40.83,16,62,40.92,19,64,41.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:47:00,172.18.0.2,16,81,52.75,5,29,21.0,5,32,19.75,5,32,20.25,14,21,18.17,14,21,18.25,12,21,16.83,24,60,42.0,20,50,35.17,28,64,44.0,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:48:00,172.18.0.2,24,81,49.75,5,29,18.92,7,32,21.58,5,29,14.92,10,21,18.0,11,21,15.83,11,20,15.92,17,60,39.08,15,54,32.83,17,56,36.17,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:49:00,172.18.0.2,15,81,55.25,5,29,17.42,5,28,17.67,6,33,18.67,10,21,15.92,10,20,13.67,11,21,16.67,17,61,37.17,17,57,41.33,24,64,46.0,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:50:00,172.18.0.2,18,75,46.25,6,27,16.42,6,32,19.17,6,33,20.83,12,21,15.75,12,21,16.83,10,20,14.83,15,64,43.58,17,62,42.75,17,63,38.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:51:00,172.18.0.2,34,84,56.5,9,28,18.42,5,29,18.17,8,34,20.25,11,21,15.25,11,20,15.5,13,20,16.17,15,62,34.67,22,59,41.58,20,62,44.08,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:52:00,172.18.0.2,20,79,43.92,5,29,20.33,9,32,19.08,10,33,24.75,10,20,15.25,12,21,17.75,13,21,17.0,18,61,39.08,15,61,30.83,16,64,42.5,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:53:00,172.18.0.2,19,81,46.0,8,25,15.5,7,32,17.25,6,28,18.25,10,21,14.92,12,21,17.0,12,21,16.5,18,64,44.33,15,55,42.25,15,55,38.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:54:00,172.18.0.2,23,74,46.83,7,29,18.0,5,31,15.0,12,34,21.42,11,21,15.08,12,20,17.0,10,19,15.08,17,56,38.42,16,58,40.0,20,64,41.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:55:00,172.18.0.2,15,66,40.5,6,24,14.17,6,31,20.08,5,26,15.92,11,20,15.42,10,21,16.58,12,21,17.08,15,55,33.67,22,61,37.33,15,60,42.83,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:56:00,172.18.0.2,15,77,48.5,5,23,14.25,5,31,16.08,5,32,18.42,10,21,13.58,10,20,13.25,10,21,14.58,20,61,41.33,15,62,43.67,16,56,37.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:57:00,172.18.0.2,17,80,49.08,5,29,17.83,5,31,19.42,7,31,20.25,10,19,14.67,10,21,16.42,11,20,15.5,21,61,42.58,15,61,37.17,19,61,39.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:58:00,172.18.0.2,24,84,57.08,6,26,14.17,7,31,18.42,6,34,21.42,10,21,13.33,11,20,14.58,11,21,15.92,25,64,45.17,22,55,39.75,15,64,41.92,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 13:59:00,172.18.0.2,19,65,44.0,6,27,16.58,9,30,19.42,8,34,21.25,10,21,15.42,10,21,14.0,10,21,16.17,15,64,34.75,19,64,38.58,15,54,31.33,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:00:00,172.18.0.2,16,84,45.25,6,29,18.33,10,32,19.58,7,32,21.33,11,21,17.25,11,20,15.83,10,21,16.17,20,62,35.92,15,58,36.08,21,64,44.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:01:00,172.18.0.2,17,84,56.67,7,26,15.5,6,32,16.25,6,28,18.33,10,20,13.83,10,20,15.17,11,20,15.25,15,61,35.83,17,60,41.92,20,64,34.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:02:00,172.18.0.2,20,82,51.58,5,29,16.67,6,32,15.67,5,32,19.0,10,21,14.5,11,21,16.17,10,21,13.83,19,57,41.0,17,58,34.5,18,62,45.17,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:03:00,172.18.0.2,24,75,49.5,5,26,15.92,8,32,19.67,5,28,15.75,10,20,15.0,10,18,13.83,10,21,15.92,24,64,44.25,16,63,34.83,17,64,43.75,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:04:00,172.18.0.2,24,81,48.5,6,29,16.0,6,30,18.83,5,34,25.25,11,21,16.75,10,21,15.92,14,21,17.58,20,60,39.25,24,61,43.75,17,64,36.0,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:05:00,172.18.0.2,19,84,48.67,5,27,14.75,5,28,14.08,5,34,22.08,10,21,13.92,11,21,14.42,10,20,15.0,15,60,39.0,28,61,42.58,16,60,34.67,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:06:00,172.18.0.2,21,82,48.0,8,28,17.0,8,32,16.75,6,34,18.08,10,21,15.0,10,21,15.33,10,21,15.08,15,63,34.67,23,64,38.83,22,61,40.17,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:07:00,172.18.0.2,34,77,53.08,5,29,15.58,5,32,17.17,5,33,16.17,10,21,14.33,11,21,15.58,11,19,15.0,22,58,40.0,18,60,33.17,15,58,34.0,12,sem_falha,sem_falha,sem_falha,sem_falha
2021-11-25 14:08:00,172.18.0.2,15,78,50.5,6,25,15.75,10,28,20.08,5,32,20.0,13,21,18.25,11,19,15.0,11,21,16.17,15,57,36.75,15,61,35.58,20,64,46.67,12,sem_falha,sem_falha,sem_falha,sem_falha
